models,n_models,weights,accuracy,f1,roc_auc
logreg+lgbm+xgb,3,"(2, 4, 2)",0.8309,0.8291746641074856,0.90224152
logreg+lgbm+xgb,3,"(1, 2, 1)",0.8309,0.8291746641074856,0.90224152
logreg+lgbm+xgb,3,"(3, 5, 5)",0.83,0.82821341956346,0.9021974399999999
logreg+xgb,2,"(2, 5)",0.8299,0.8281297362837223,0.9021892000000001
logreg+lgbm+xgb,3,"(2, 1, 5)",0.8302,0.8283808368708309,0.9021628400000001
logreg+lgbm+xgb,3,"(2, 3, 4)",0.8301,0.8283318177225422,0.9021416800000001
logreg+lgbm+xgb,3,"(2, 4, 3)",0.8299,0.8279906967337446,0.9021397600000001
logreg+lgbm+xgb,3,"(2, 5, 1)",0.8311,0.8292041662453231,0.9021191999999999
logreg+lgbm,2,"(2, 5)",0.8301,0.8284011715988284,0.9020978
logreg+lgbm+xgb,3,"(2, 2, 5)",0.8302,0.8283808368708309,0.90208944
logreg+lgbm+xgb,3,"(2, 5, 2)",0.8299,0.8280602446174062,0.9020742800000001
logreg+lgbm+xgb,3,"(1, 2, 2)",0.8299,0.8280254777070064,0.90203044
logreg+lgbm+xgb,3,"(2, 4, 4)",0.8299,0.8280254777070064,0.90203044
logreg+lgbm+xgb,3,"(2, 3, 5)",0.8297,0.8278232736831463,0.9020081999999999
logreg+lgbm+xgb,3,"(2, 5, 3)",0.8298,0.8278721682847896,0.90200232
logreg+xgb,2,"(1, 3)",0.8296,0.8277744087325651,0.9019974399999999
logreg+lgbm+xgb,3,"(1, 1, 3)",0.8299,0.8279906967337446,0.9019472000000001
logreg+lgbm+xgb,3,"(1, 3, 1)",0.83,0.8280744336569579,0.9019271600000001
logreg+lgbm+xgb,3,"(2, 4, 5)",0.8298,0.8278373457414525,0.9019176
logreg+lgbm,2,"(1, 3)",0.8303,0.828533899161362,0.9019175599999999
logreg+lgbm+xgb,3,"(2, 5, 4)",0.8302,0.8282072035613112,0.9019163199999999
logreg+lgbm+xgb,3,"(2, 5, 5)",0.8298,0.8278025091056253,0.9018292399999999
logreg+lgbm+xgb,3,"(1, 2, 3)",0.8295,0.8275164390490642,0.9018145200000001
logreg+lgbm+xgb,3,"(1, 3, 2)",0.8299,0.8278165806255694,0.90181144
logreg+lgbm+xgb,3,"(1, 1, 4)",0.8291,0.8271817170593588,0.9017062400000001
logreg+xgb,2,"(1, 4)",0.8293,0.827488630621526,0.90168592
logreg+lgbm+xgb,3,"(1, 4, 1)",0.8295,0.8275164390490642,0.90168476
logreg+lgbm+xgb,3,"(1, 3, 3)",0.8295,0.827481533947182,0.901683
logreg+lgbm+xgb,3,"(1, 2, 4)",0.829,0.8269931201942533,0.9016392799999998
logreg+lgbm+xgb,3,"(1, 4, 2)",0.8293,0.8272092317036137,0.9016298
logreg+lgbm,2,"(1, 4)",0.8299,0.8279559016890867,0.9016144399999999
logreg+lgbm+xgb,3,"(1, 3, 4)",0.8289,0.82680433242231,0.9015596000000001
logreg+lgbm+xgb,3,"(1, 4, 3)",0.8294,0.8272929742862928,0.90155352
logreg+lgbm+xgb,3,"(1, 1, 5)",0.8289,0.82680433242231,0.9015126
logreg+lgbm+xgb,3,"(1, 2, 5)",0.829,0.8268529769137303,0.9014935599999999
logreg+lgbm+xgb,3,"(1, 5, 2)",0.8297,0.8276141309849175,0.90147596
logreg+lgbm+xgb,3,"(1, 5, 1)",0.8292,0.8271604938271605,0.90146916
logreg+lgbm+xgb,3,"(1, 4, 4)",0.829,0.8269230769230769,0.9014638400000001
logreg+xgb,2,"(1, 5)",0.829,0.8271679805942995,0.90146308
logreg+lgbm+xgb,3,"(1, 3, 5)",0.8288,0.8267206477732794,0.9014476
